centroid_cluster,latitude,longitude,count
469,-31.625031555215468,119.75594974317077,51
470,-37.5687420713799,149.24512912757876,720
471,-34.695296727862086,145.9132102358802,2
472,-31.628345961337306,151.11954848751796,255
473,-18.90955542900895,124.43440520757076,129
474,-17.410827183886923,123.96371927775002,254
475,-17.353960049156147,128.75608124817822,30
476,-27.736006520181615,120.0373315710552,36
477,-12.44748138251083,136.68900514835266,400
478,-16.921019573180086,137.5691648375579,254
479,-37.32689760370571,149.45703919617623,822
480,-25.720077217109473,134.15457085826267,1
481,-12.10204555853183,133.76422636494283,62
482,-15.586785216727822,144.56616166085433,246
483,-26.574301857928,150.84302028334253,142
484,-26.415536553183134,152.3362566445387,290
485,-26.07654006376768,148.53687681025758,40
486,-20.944931237812902,119.0016787832039,74
487,-15.663687352877142,124.60099105910882,204
488,-17.52457771893631,145.16415139749807,93
489,-17.175216455151805,124.51599017668116,94
490,-16.616704521959846,139.3689186841198,8
491,-36.60833363295659,147.25065864024455,101
492,-24.47665943633506,122.59351627863961,13
493,-24.376592176783618,120.06698795584464,6
494,-21.60392255366155,147.3933823153212,38
495,-26.345667104100183,153.01077192688598,21
496,-19.849982472847547,140.14523362795356,37
497,-18.513586705959963,126.69250382692685,79
498,-15.663658949426608,143.394490187557,253
499,-32.94865846460274,151.55843741368108,32
